No,Jenis BMN,Kode Satker,Nama Satker,Kode Barang,NUP,Nama Barang,Merk,Tipe,Kondisi,Nama,Tanggal Perolehan,Nilai Perolehan,Nilai Buku,Status Penggunaan,gps_latitude,gps_longitude,Alamat,RT/RW,Kelurahan/Desa,Kecamatan,Kab/Kota,Provinsi,Nama K/L,Kode Register,KELOMPOK BMN,Kelompok Indeks,Indeks Total,Start_date,Nilai Premi
286,RUMAH NEGARA,004011100579213000KD,BPK RI PERWAKILAN PROVINSI SUMATERA SELATAN,4010201010,7,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Eselon IV,54,Baik,Rumah Dinas Eselon IV 54,2003-10-21,"111.968.000,00",88641335,Digunakan sendiri untuk operasional,,,KOMP. TJ. PENGHARAPAN NO.25 PALEMBANG,039/014,8 ILIR,ILIR TIMUR II,KOTA PALEMBANG,SUMATERA SELATAN,"0,5",E10638649E553C69E0531561F20A24E5,BMN PREFEREN NOMINATIF,3,"0,5",,"219569,248"
47,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,40,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK B-10,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK B-10 Permanen,2000-01-01,"688.874.500,00",537507622,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK B-10,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED7847C3BAB30BE0531561F20A4B72,BMN PREFEREN NOMINATIF,3,"0,3",,"1350882,895"
51,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,44,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK B-14,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK B-14 Permanen,2000-01-01,"591.668.000,00",455129225,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK B-14,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED78483D8BB30BE0531561F20A4B72,BMN PREFEREN NOMINATIF,3,"0,3",,"1160260,948"
54,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,47,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK B-17,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK B-17 Permanen,2000-01-01,"591.668.000,00",455129225,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK B-17,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784B0584B30BE0531561F20A4B72,BMN PREFEREN NOMINATIF,3,"0,3",,"1160260,948"
59,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,52,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK B-22,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK B-22 Permanen,2000-01-01,"1.004.521.000,00",772708465,Digunakan sendiri untuk dinas jabatan,,,JL.KOMPLEK DPR RI BLOK B - 22,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784B0589B30BE0531561F20A4B72,BMN PREFEREN NOMINATIF,3,"0,3",,"1969865,681"
69,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,62,Rumah Negara Golongan I Tipe A Permanen,Komplek RJA DPR RI Kalibata Blok EE-1,Permanen,Baik,Komplek RJA DPR RI Kalibata Blok EE-1 Permanen,2010-03-01,"886.806.000,00",730310820,Digunakan sendiri untuk dinas jabatan,,,Komplek RJA DPR RI Kalibata EE-1,Rw.05 khusus,Rawajati,Pancoran,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784B859BB30BE0531561F20A4B72,BMN PREFEREN NOMINATIF,3,"0,3",,"1739026,566"
73,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,66,Rumah Negara Golongan I Tipe A Permanen,Komplek RJA DPR RI Kalibata Blok BB-1,,Baik,Komplek RJA DPR RI Kalibata Blok BB-1,2020-12-31,"1.535.302.181,00",1397124983,Digunakan sendiri untuk dinas jabatan,,,Komplek RJA DPR RI Kalibata BB-1,Rw.05 khusus,Rawajati,Pancoran,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED7848A991B30BE0531561F20A4B72,BMN PREFEREN NOMINATIF,3,"0,3",,"3010727,577"
76,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,69,Rumah Negara Golongan I Tipe A Permanen,Komplek RJA DPR RI Kalibata Blok EE-2,,Baik,Komplek RJA DPR RI Kalibata Blok EE-2,2020-12-31,"1.535.302.247,00",1397125047,Digunakan sendiri untuk dinas jabatan,,,Komplek RJA DPR RI Kalibata EE-2,Rw.05 khusus,Rawajati,Pancoran,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED7846A13AB30BE0531561F20A4B72,BMN PREFEREN NOMINATIF,3,"0,3",,"3010727,706"
78,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,71,Rumah Negara Golongan I Tipe A Permanen,Komplek RJA DPR RI Kalibata Blok EE-4,,Baik,Komplek RJA DPR RI Kalibata Blok EE-4,2020-12-31,"1.535.302.247,00",1397125047,Digunakan sendiri untuk dinas jabatan,,,Komplek RJA DPR RI Kalibata EE-4,Rw.05 khusus,Rawajati,Pancoran,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED7846A137B30BE0531561F20A4B72,BMN PREFEREN NOMINATIF,3,"0,3",,"3010727,706"
79,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,72,Rumah Negara Golongan I Tipe A Permanen,Komplek RJA DPR RI Kalibata Blok EE-5,,Baik,Komplek RJA DPR RI Kalibata Blok EE-5,2020-12-31,"1.535.302.247,00",1397125047,Digunakan sendiri untuk dinas jabatan,,,Komplek RJA DPR RI Kalibata EE-5,Rw.05 khusus,Rawajati,Pancoran,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784A1CBBB30BE0531561F20A4B72,BMN PREFEREN NOMINATIF,3,"0,3",,"3010727,706"
81,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010202004,1,Rumah Negara Golongan II Tipe B Permanen,,Permanen,Baik,Permanen,1986-01-01,"9.394.750,00",4076616,Digunakan sendiri untuk operasional,,,-,-,-,-,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784A1CC2B30BE0531561F20A4B72,BMN PREFEREN NOMINATIF,3,"0,3",,"18423,10475"
84,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010202004,4,Rumah Negara Golongan II Tipe B Permanen,,Permanen,Baik,Permanen,1986-01-01,"9.394.750,00",4076616,Digunakan sendiri untuk operasional,,,-,-,-,-,DKI JAKARTA,DKI JAKARTA,"0,3",C4ED784A7CA4B30BE0531561F20A4B72,BMN PREFEREN NOMINATIF,3,"0,3",,"18423,10475"
86,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010202013,2,Rumah Negara Golongan II Tipe E Permanen,,Permanen,Baik,Permanen,1986-01-01,"4.370.583.550,00",1896505683,Digunakan sendiri untuk operasional,,,-,-,-,-,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784A7CA5B30BE0531561F20A4B72,BMN PREFEREN NOMINATIF,3,"0,3",,"8570714,342"
117,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,18,Rumah Negara Golongan I Tipe A Permanen,RUMAH DINAS ES-II,RUMAH JABATAN,Baik,RUMAH DINAS ES-II RUMAH JABATAN,2008-12-13,"492.206.000,00",402168320,Digunakan sendiri untuk operasional,,,RAYA JOGLO,KAV NO.16,SRENGSENG,KEMBANGAN,KOTA JAKARTA BARAT,DKI JAKARTA,"0,5",E2AA275BFF5C2BB7E0531561F20A8614,BMN PENGADAAN BARU,2,"0,5",,"965215,966"
118,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010201001,19,Rumah Negara Golongan I Tipe A Permanen,RUMAH DINAS ES-II,RUMAH JABATAN,Baik,RUMAH DINAS ES-II RUMAH JABATAN,2008-12-13,"423.526.000,00",354486955,Digunakan sendiri untuk operasional,,,RAYA JOGLO,KAV NO.17,SRENGSENG,KEMBANGAN,KOTA JAKARTA BARAT,DKI JAKARTA,"0,5",E2AA275BFF4A2BB7E0531561F20A8614,BMN PENGADAAN BARU,2,"0,5",,"830534,486"
152,RUMAH NEGARA,004010300890594000KD,BADAN PEMERIKSA KEUANGAN RI PERWAKILAN PROVINSI JAWA TENGAH,4010201007,3,Rumah Negara Golongan I Tipe C Permanen,Rujab Mega Residence,Permanen,Baik,Rujab Mega Residence Permanen,2011-11-23,"217.291.000,00",160005257,Digunakan sendiri untuk operasional,,,Jl. Lavender Garden Kav. 3,16/06,PUDAK PAYUNG,BANYUMANIK,KOTA SEMARANG,JAWA TENGAH,"0,5",E1063820ADB53F1EE0531661F20A1C14,BMN PENGADAAN BARU,2,"0,5",,"426107,651"
155,RUMAH NEGARA,004010300890594000KD,BADAN PEMERIKSA KEUANGAN RI PERWAKILAN PROVINSI JAWA TENGAH,4010201010,1,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Jabatan,Permanen,Baik,Rumah Dinas Jabatan Permanen,2011-11-23,"198.940.196,00",152765795,Digunakan sendiri untuk operasional,,,Jl. Lavender Garden Kav. 6,16/06,Pudak Payung,Banyumanik,KOTA SEMARANG,JAWA TENGAH,"0,5",E1063820ADB73F1EE0531661F20A1C14,BMN PENGADAAN BARU,2,"0,5",,"390121,7244"
157,RUMAH NEGARA,004010300890594000KD,BADAN PEMERIKSA KEUANGAN RI PERWAKILAN PROVINSI JAWA TENGAH,4010201010,3,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Jabatan,Permanen,Baik,Rumah Dinas Jabatan Permanen,2011-11-23,"198.678.202,00",152510787,Digunakan sendiri untuk operasional,,,Jl. Lavender Garden Kav. 8,16/06,Pudak Payung,Banyumanik,KOTA SEMARANG,JAWA TENGAH,"0,5",E1063820ADBB3F1EE0531661F20A1C14,BMN PENGADAAN BARU,2,"0,5",,"389607,9541"
158,RUMAH NEGARA,004010300890594000KD,BADAN PEMERIKSA KEUANGAN RI PERWAKILAN PROVINSI JAWA TENGAH,4010201010,4,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Jabatan,Permanen,Baik,Rumah Dinas Jabatan Permanen,2011-11-23,"173.639.000,00",128139297,Digunakan sendiri untuk operasional,,,Jl. Lavender Garden Kav. 9,16/06,Pudak Payung,Banyumanik,KOTA SEMARANG,JAWA TENGAH,"0,5",E1063820ADB63F1EE0531661F20A1C14,BMN PENGADAAN BARU,2,"0,5",,"340506,079"
173,RUMAH NEGARA,004010400003030000KD,BPK RI PERWAKILAN PROVINSI DIY (01. SEKJEN),4010201010,5,Rumah Negara Golongan I Tipe D Permanen,,50,Baik,50,2006-12-15,"199.851.700,00",165723733,Digunakan sendiri untuk operasional,,,DEMAKAN,34/09,TEGALREJO,TEGALREJO,KOTA YOGYAKARTA,DI YOGYAKARTA,"0,5",E1063826BEA73BB9E0531561F20A0A4B,BMN PENGADAAN BARU,2,"0,5",,"391909,1837"
177,RUMAH NEGARA,004010400003030000KD,BPK RI PERWAKILAN PROVINSI DIY (01. SEKJEN),4010201010,9,Rumah Negara Golongan I Tipe D Permanen,,50,Baik,50,2006-12-15,"212.417.000,00",178631517,Digunakan sendiri untuk operasional,,,DEMAKAN,34/09,TEGALREJO,TEGALREJO,KOTA YOGYAKARTA,DI YOGYAKARTA,"0,5",E1063826BE983BB9E0531561F20A0A4B,BMN PENGADAAN BARU,2,"0,5",,"416549,737"
181,RUMAH NEGARA,004010400003030000KD,BPK RI PERWAKILAN PROVINSI DIY (01. SEKJEN),4010202007,1,Rumah Negara Golongan II Tipe C Permanen,,70/210,Baik,70/210,1988-04-05,"187.353.000,00",118809223,Digunakan sendiri untuk operasional,,,Jl Magelang Komplek Perum Jatimulyo,01/01,Jatimulyo,Jatimulyo,KOTA YOGYAKARTA,DI YOGYAKARTA,"0,5",E1063826BE953BB9E0531561F20A0A4B,BMN PENGADAAN BARU,2,"0,5",,"367399,233"
184,RUMAH NEGARA,004010400418552000KD,BALAI DIKLAT PKN BPK RI YOGYAKARTA,4010201007,1,Rumah Negara Golongan I Tipe C Permanen,,70,Baik,70,2006-12-15,"217.628.900,00",179281966,Digunakan sendiri untuk operasional,,,DEMAKAN,34/09,TEGALREJO,TEGALREJO,KOTA YOGYAKARTA,DI YOGYAKARTA,"0,5",E1063826BE9A3BB9E0531561F20A0A4B,BMN PENGADAAN BARU,2,"0,5",,"426770,2729"
185,RUMAH NEGARA,004010400418552000KD,BALAI DIKLAT PKN BPK RI YOGYAKARTA,4010201010,1,Rumah Negara Golongan I Tipe D Permanen,,50,Baik,50,2006-12-15,"135.891.000,00",109758118,Digunakan sendiri untuk operasional,,,DEMAKAN,34/09,TEGALREJO,TEGALREJO,KOTA YOGYAKARTA,DI YOGYAKARTA,"0,5",E1063826BE9D3BB9E0531561F20A0A4B,BMN PENGADAAN BARU,2,"0,5",,"266482,251"
186,RUMAH NEGARA,004010400418552000KD,BALAI DIKLAT PKN BPK RI YOGYAKARTA,4010201010,2,Rumah Negara Golongan I Tipe D Permanen,,50,Baik,50,2006-12-15,"199.884.300,00",165752256,Digunakan sendiri untuk operasional,,,DEMAKAN,34/09,TEGALREJO,TEGALREJO,KOTA YOGYAKARTA,DI YOGYAKARTA,"0,5",E1063826BEAD3BB9E0531561F20A0A4B,BMN PENGADAAN BARU,2,"0,5",,"391973,1123"
213,RUMAH NEGARA,004010600450774000KD,BPK Perwakilan Provinsi Aceh,4010201010,3,Rumah Negara Golongan I Tipe D Permanen,RJ ES IV KTS,50,Baik,RJ ES IV KTS 50,2007-11-15,"168.911.000,00",146873089,Digunakan sendiri untuk operasional,,,MALIKUL SALEH,-,PINEUNG,SYIAH KUALA,KOTA BANDA ACEH,NANGGROE ACEH DARUSSALAM,"0,5",E10638163E2E3B6CE0531561F20AC903,BMN PENGADAAN BARU,2,"0,5",,"331234,471"
214,RUMAH NEGARA,004010600450774000KD,BPK Perwakilan Provinsi Aceh,4010201010,4,Rumah Negara Golongan I Tipe D Permanen,RJ ES IV KASUB HUMAS,50,Baik,RJ ES IV KASUB HUMAS 50,2007-11-15,"113.019.000,00",91827937,Digunakan sendiri untuk operasional,,,MALIKUL SALEH,-,PINEUNG,SYIAH KUALA,KOTA BANDA ACEH,NANGGROE ACEH DARUSSALAM,"0,5",E10638163E3C3B6CE0531561F20AC903,BMN PENGADAAN BARU,2,"0,5",,"221630,259"
216,RUMAH NEGARA,004010600450774000KD,BPK Perwakilan Provinsi Aceh,4010202016,1,Rumah Negara Golongan II Berupa Mess/Asrama,Mess/Asrama,962,Baik,Mess/Asrama 962,2009-04-22,"5.665.963.433,00",3852855138,Digunakan sendiri untuk operasional,,,,-,Batoh,Lueng Bata,KOTA BANDA ACEH,NANGGROE ACEH DARUSSALAM,"0,5",E10638163E333B6CE0531561F20AC903,BMN PENGADAAN BARU,2,"0,5",,"11110954,29"
218,RUMAH NEGARA,004010700418553000KD,BALAI DIKLAT PKN MEDAN BPK RI,4010201010,1,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Eselon IV,D Permanen,Baik,Rumah Dinas Eselon IV D Permanen,1984-07-30,"90.776.000,00",76134710,Digunakan sendiri untuk dinas jabatan,,,Jakan Taska No.6,,Helvetia Timur,Medan Helvetia,KOTA MEDAN,SUMATERA UTARA,"0,5",E106384827223F88E0531661F20A2985,BMN PENGADAAN BARU,2,"0,5",,"178011,736"
220,RUMAH NEGARA,004010751003051000KD,BPK Perwakilan Provinsi Sumatera Utara,4010201004,1,Rumah Negara Golongan I Tipe B Permanen,Rumah Dinas Kalan,,Baik,Rumah Dinas Kalan,1987-05-18,"483.922.700,00",326461946,Digunakan sendiri untuk operasional,,,Jl. Brigjend H.A Manaf Lubis No. 16A,00/00,Helvetia Timur,Medan Helvetia,KOTA MEDAN,SUMATERA UTARA,"0,5",E106384827303F88E0531661F20A2985,BMN PENGADAAN BARU,2,"0,5",,"948972,4147"
224,RUMAH NEGARA,004010751003051000KD,BPK Perwakilan Provinsi Sumatera Utara,4010201010,1,Rumah Negara Golongan I Tipe D Permanen,Rumah,Permanen Luks,Baik,Rumah Permanen Luks,1984-07-30,"127.086.000,00",71018646,Digunakan sendiri untuk operasional,,,Jl. Taska No. 14,01/01,Helvetia Timur,Helvetia Timur,KOTA MEDAN,SUMATERA UTARA,"0,5",E106384827293F88E0531661F20A2985,BMN PENGADAAN BARU,2,"0,5",,"249215,646"
250,RUMAH NEGARA,004010900450780000KD,BPK PERWAKILAN PROVINSI RIAU,4010201004,1,Rumah Negara Golongan I Tipe B Permanen,rumah eselon II,200,Baik,rumah eselon II 200,2012-12-06,"408.164.000,00",340136662,Digunakan sendiri untuk operasional,,,Jalan Permata Sari No. 18,RT 3 RW 5,Tangkerang Selatan,Bukit Raya,KOTA PEKANBARU,RIAU,"0,5",E10638580CB83C57E0531561F20AF428,BMN PENGADAAN BARU,2,"0,5",,"800409,604"
254,RUMAH NEGARA,004010900450780000KD,BPK PERWAKILAN PROVINSI RIAU,4010201007,3,Rumah Negara Golongan I Tipe C Permanen,Rumah Eselon III,70,Baik,Rumah Eselon III 70,2012-12-06,"147.436.000,00",122863330,Digunakan sendiri untuk operasional,,,Jl. Rawa Wiri,-/-/-,Tangkerang Labuai,Bukit Raya,KOTA PEKANBARU,RIAU,"0,5",E10638580CBA3C57E0531561F20AF428,BMN PENGADAAN BARU,2,"0,5",,"289121,996"
289,RUMAH NEGARA,004011100579213000KD,BPK RI PERWAKILAN PROVINSI SUMATERA SELATAN,4010201010,10,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Eselon IV,54,Baik,Rumah Dinas Eselon IV 54,2005-12-30,"111.968.000,00",89869055,Digunakan sendiri untuk operasional,,,KOMP. TJ. PENGHARAPAN NO.22 PALEMBANG,039/014,8 ILIR,ILIR TIMUR II,KOTA PALEMBANG,SUMATERA SELATAN,"0,5",E10638649E4C3C69E0531561F20A24E5,BMN PENGADAAN BARU,2,"0,5",,"219569,248"
293,RUMAH NEGARA,004011100579213000KD,BPK RI PERWAKILAN PROVINSI SUMATERA SELATAN,4010202016,3,Rumah Negara Golongan II Berupa Mess/Asrama,Rumah Negara,,Baik,Rumah Negara,2005-12-30,"210.647.900,00",175861538,Digunakan sendiri untuk operasional,,,Jalan,Lunjuk Jaya,Kota Palembang,Ilir Barat I,KOTA PALEMBANG,SUMATERA SELATAN,"0,5",E10638649E3A3C69E0531561F20A24E5,BMN PENGADAAN BARU,2,"0,5",,"413080,5319"
296,RUMAH NEGARA,004011200445237000KD,BPK RI PERWAKILAN PROVINSI LAMPUNG,4010201007,2,Rumah Negara Golongan I Tipe C Permanen,RUMAH DINAS ESELON 3,65,Baik,RUMAH DINAS ESELON 3 65,2012-11-01,"233.179.000,00",194315830,Digunakan sendiri untuk operasional,,,Jalan Pangeran Emir M. Noor,8,Sumur Puteri,Teluk Betung Utara,KOTA BANDAR LAMPUNG,LAMPUNG,"0,5",E2AA275D94B92C53E0531561F20A6B7F,BMN PENGADAAN BARU,2,"0,5",,"457264,019"
298,RUMAH NEGARA,004011200445237000KD,BPK RI PERWAKILAN PROVINSI LAMPUNG,4010201010,1,Rumah Negara Golongan I Tipe D Permanen,RUMAH ESELON 4 NO 1,Rumah Jabatan,Baik,RUMAH ESELON 4 NO 1 Rumah Jabatan,2007-12-10,"123.220.000,00","1,00E+08",Digunakan sendiri untuk operasional,,,Kayu Manis,09 LK. 1,Sepang Jaya,Kedaton,KOTA BANDAR LAMPUNG,LAMPUNG,"0,5",E2AA275D94BC2C53E0531561F20A6B7F,BMN PENGADAAN BARU,2,"0,5",,"241634,42"
24,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,17,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK A-16,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK A-16 Permanen,2000-01-01,"1.004.521.000,00",772708465,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK A-16,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784B859AB30BE0531561F20A4B72,BMN PENGADAAN BARU,2,"0,3",,"1969865,681"
25,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,18,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK A-17,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK A-17 Permanen,2000-01-01,"1.004.521.000,00",772708465,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK A-17,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784B859EB30BE0531561F20A4B72,BMN PENGADAAN BARU,2,"0,3",,"1969865,681"
30,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,23,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK A-22,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK A-22 Permanen,2000-01-01,"1.004.521.000,00",772708465,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK A-22,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED78483D89B30BE0531561F20A4B72,BMN PENGADAAN BARU,2,"0,3",,"1969865,681"
32,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,25,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK A-24,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK A-24 Permanen,2000-01-01,"1.004.521.000,00",772708465,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK A-24,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED78484093B30BE0531561F20A4B72,BMN PENGADAAN BARU,2,"0,3",,"1969865,681"
48,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,41,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK B-11,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK B-11 Permanen,2000-01-01,"591.668.000,00",455129225,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK B-11,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED7846A139B30BE0531561F20A4B72,BMN PENGADAAN BARU,2,"0,3",,"1160260,948"
50,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,43,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK B-13,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK B-13 Permanen,2000-01-01,"591.668.000,00",455129225,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK B-13,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED78484096B30BE0531561F20A4B72,BMN PENGADAAN BARU,2,"0,3",,"1160260,948"
53,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,46,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK B-16,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK B-16 Permanen,2000-01-01,"591.668.000,00",455129225,Digunakan sendiri untuk dinas jabatan,,,JL KOMPLEK DPR RI BLOK B-16,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784B859DB30BE0531561F20A4B72,BMN PENGADAAN BARU,2,"0,3",,"1160260,948"
55,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,48,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK B-18,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK B-18 Permanen,2000-01-01,"591.668.000,00",455129225,Digunakan sendiri untuk dinas jabatan,,,JL. KOMPLEK DPR RI BLOK B-18,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED7846A13CB30BE0531561F20A4B72,BMN PENGADAAN BARU,2,"0,3",,"1160260,948"
57,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,50,Rumah Negara Golongan I Tipe A Permanen,KOMPLEK RJA DPR RI ULUJAMI BLOK B-20,Permanen,Baik,KOMPLEK RJA DPR RI ULUJAMI BLOK B-20 Permanen,2000-01-01,"591.668.000,00",455129225,Digunakan sendiri untuk dinas jabatan,,,JL.KOMPLEK DPR RI BLOK B-20,RT.001/RW.09,ULUJAMI,PESANGGRAHAN,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784B85A4B30BE0531561F20A4B72,BMN PENGADAAN BARU,2,"0,3",,"1160260,948"
60,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,53,Rumah Negara Golongan I Tipe A Permanen,Komplek RJA DPR RI Kalibata Blok AA-1,Permanen,Baik,Komplek RJA DPR RI Kalibata Blok AA-1 Permanen,2010-11-03,"886.806.000,00",732130530,Digunakan sendiri untuk dinas jabatan,,,Komplek RJA DPR RI Kalibata Blok AA-1,RW.05 khusus,Rawajati,Pancoran,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784A1CBCB30BE0531561F20A4B72,BMN PENGADAAN BARU,2,"0,3",,"1739026,566"
62,RUMAH NEGARA,002010199001012000KP,SEKRETARIAT JENDERAL DPR RI,4010201001,55,Rumah Negara Golongan I Tipe A Permanen,Komplek RJA DPR RI Kalibata Blok AA-3,Permanen,Baik,Komplek RJA DPR RI Kalibata Blok AA-3 Permanen,2010-03-01,"886.806.000,00",730310820,Digunakan sendiri untuk dinas jabatan,,,Komplek RJA DPR RI Kalibata AA-3,Rw.05 khusus,Rawajati,Pancoran,KOTA JAKARTA SELATAN,DKI JAKARTA,"0,3",C4ED784B85A2B30BE0531561F20A4B72,BMN PENGADAAN BARU,2,"0,3",,"1739026,566"
